Price,Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized
-0.28619907215589474,2.75,5.5,20.0,0,1,0,0,0,1
-0.675365745741079,2.75,3.5,13.0,0,0,1,0,1,0
-1.1757228974934586,2.0,5.0,16.0,0,0,1,1,0,0
-0.0638181158215038,2.75,4.5,20.0,0,1,0,1,0,0
-0.6475681261992801,2.5,4.0,10.0,0,0,1,0,1,0
-0.9255443216172687,3.0,3.1,20.0,0,1,0,1,0,0
-1.2591157561188553,1.5,2.75,13.0,0,0,1,0,1,0
-1.1479252779516598,1.5,3.0,13.0,0,0,1,0,1,0
0.4921342750144736,5.0,5.3125,29.0,0,1,0,0,0,1
0.9090985681414566,3.0,80.0,20.0,0,1,0,1,0,0
-0.20280621353049816,3.0,5.0,14.0,0,1,0,0,1,0
-0.11941335490510153,3.0,4.3,12.0,0,0,1,1,0,0
-0.8699490825336711,3.0,3.1875,18.0,0,0,1,0,0,1
1.3260628612684398,3.0,8.0,20.0,0,1,0,1,0,0
1.465050958977434,2.0,9.5,15.0,0,1,0,1,0,0
0.07516998188749055,2.5,3.625,12.0,0,1,0,1,0,0
-0.48078240894848684,4.0,2.5,20.0,0,1,0,1,0,0
-1.0089371802426654,2.0,3.5,13.0,0,1,0,1,0,0
2.2989795452314,5.0,9.0,12.0,0,1,0,1,0,0
2.2989795452314,3.0,10.0,16.0,0,1,0,0,1,0
0.3253485577636804,4.0,6.0,18.0,0,1,0,1,0,0
0.18636046005468604,3.0,4.0,20.0,0,1,0,1,0,0
-0.44742526549832823,4.0,4.0,10.0,0,0,1,0,1,0
0.15856284051288716,2.0,6.25,20.0,0,1,0,1,0,0
-0.6197705066574812,3.0,3.25,14.0,0,1,0,1,0,0
-0.5641752675738835,3.0,3.0,15.0,0,1,0,1,0,0
-0.6197705066574812,3.0,3.1875,15.0,0,1,0,0,1,0
-0.0638181158215038,3.0,4.0,15.0,0,1,0,0,1,0
0.4921342750144736,3.0,12.0,15.0,0,1,0,1,0,0
-1.2591157561188553,2.0,4.0,3.0,0,1,0,0,0,1
0.4921342750144736,2.0,5.0,12.0,0,1,0,1,0,0
0.07516998188749055,2.0,6.0,18.0,0,1,0,0,1,0
0.18636046005468604,3.0,4.0,20.0,0,1,0,1,0,0
0.6311223727234679,3.0,6.0,20.0,0,1,0,1,0,0
0.2975509382218815,1.0,11.0,0.0,0,0,1,0,0,1
-0.9255443216172687,3.0,3.75,12.0,0,1,0,1,0,0
-0.9533419411590677,2.5,3.0,10.0,0,1,0,0,1,0
-0.7309609848246766,2.5,3.75,13.0,0,1,0,1,0,0
-0.48078240894848684,3.0,4.75,13.0,0,0,1,1,0,0
-1.1757228974934586,2.0,3.0,16.0,1,0,0,0,0,1
-0.7031633652828778,1.0,4.0,20.0,0,0,1,0,1,0
0.0862890297042101,2.75,5.5,20.0,0,0,1,1,0,0
0.1919199839630458,2.75,6.0,20.0,0,0,1,1,0,0
1.1870747635594454,3.0,5.0,14.0,0,1,0,1,0,0
0.047372362345691685,2.75,5.25,20.0,0,0,1,1,0,0
0.6311223727234679,3.0,6.0,13.0,0,1,0,1,0,0
-0.6197705066574812,3.0,3.1,14.0,0,1,0,0,1,0
-0.5641752675738835,3.0,3.0,13.0,0,1,0,1,0,0
-0.3028776438809741,2.0,4.25,40.0,0,0,1,1,0,0
-1.1479252779516598,1.0,3.5,10.0,0,1,0,0,1,0
-0.0638181158215038,3.0,4.0,13.0,0,1,0,1,0,0
-0.42518716986488914,3.0,5.0,13.0,0,1,0,1,0,0
-0.5363776480320845,4.0,5.0,13.0,0,1,0,0,1,0
-0.8866276542587503,2.5,2.5,12.0,0,0,1,1,0,0
-0.9366633694339883,3.0,3.0,14.0,0,1,0,0,1,0
0.019574742803892813,3.0,5.5,30.0,0,1,0,1,0,0
0.4921342750144736,3.0,12.0,14.0,0,1,0,0,1,0
0.408741416389077,2.5,5.0,10.0,0,1,0,1,0,0
0.21415807959648492,4.0,7.25,12.0,0,0,1,1,0,0
-0.9811395607008665,2.5,3.0,13.0,0,1,0,1,0,0
-0.675365745741079,2.5,4.0,20.0,0,0,1,1,0,0
1.465050958977434,2.5,6.0,13.0,0,1,0,1,0,0
-0.20280621353049816,2.75,3.0,0.0,0,0,1,0,0,1
2.6325509797329865,3.0,21.0,15.0,0,1,0,0,1,0
1.1870747635594454,2.0,12.0,22.0,0,1,0,1,0,0
-0.20280621353049816,2.75,3.0,0.0,0,1,0,0,0,1
-0.8977467020754699,3.0,3.25,15.0,0,1,0,0,0,1
1.7430271543954228,2.0,12.0,12.0,0,1,0,1,0,0
2.576955740649389,4.0,9.0,8.0,0,1,0,1,0,0
-0.7587586043664756,2.75,3.0,0.0,0,0,1,0,0,1
-0.1472109744469004,3.0,4.0,10.0,0,1,0,1,0,0
-0.7865562239082744,3.0,3.0,20.0,0,0,1,0,0,1
1.7430271543954228,2.0,8.0,20.0,0,1,0,1,0,0
0.18636046005468604,3.0,6.0,16.0,0,1,0,1,0,0
